[21/11/24 01:16:51, INFO, FSL_SAGE_main.py:<module>():408] Using GPU: True
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():120] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():125] Random seed: 200
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():126] Alignment interval (l): 10
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():154] ----------------------------- WARM START USING SL -----------------------------------
[21/11/24 01:16:53, INFO, algs.py:sl_single_server():170] Configured rounds = 1
[21/11/24 01:17:08, INFO, algs.py:sl_single_server():230]  > Round 0, testing loss: 1.51, testing acc: 44.50%
[21/11/24 01:17:08, INFO, FSL_SAGE_main.py:main():160] After warm start: Test loss: 1.48, Test accuracy: 44.50
[21/11/24 01:17:08, INFO, FSL_SAGE_main.py:main():161] -------------------------------------------------------------------------------------
[21/11/24 01:17:35, INFO, FSL_SAGE_main.py:main():358]  > R  0, for the weighted aggregated final model, testing loss: 1.4785e+00, testing acc: 46.94% ( 4694/10000), training loss: 1.64, training acc: 40.43%
[21/11/24 01:24:18, INFO, FSL_SAGE_main.py:main():358]  > R 16, for the weighted aggregated final model, testing loss: 1.0240e+00, testing acc: 63.16% ( 6316/10000), training loss: 1.18, training acc: 57.92%
[21/11/24 01:24:43, INFO, FSL_SAGE_main.py:main():358]  > R 17, for the weighted aggregated final model, testing loss: 9.9190e-01, testing acc: 65.56% ( 6556/10000), training loss: 1.16, training acc: 58.67%
[21/11/24 01:25:08, INFO, FSL_SAGE_main.py:main():358]  > R 18, for the weighted aggregated final model, testing loss: 9.8358e-01, testing acc: 66.01% ( 6601/10000), training loss: 1.14, training acc: 59.49%
[21/11/24 01:25:33, INFO, FSL_SAGE_main.py:main():358]  > R 19, for the weighted aggregated final model, testing loss: 9.7057e-01, testing acc: 65.80% ( 6580/10000), training loss: 1.13, training acc: 59.88%
[21/11/24 01:26:01, INFO, FSL_SAGE_main.py:main():358]  > R 20, for the weighted aggregated final model, testing loss: 9.8447e-01, testing acc: 65.35% ( 6535/10000), training loss: 1.12, training acc: 60.18%
[21/11/24 01:26:26, INFO, FSL_SAGE_main.py:main():358]  > R 21, for the weighted aggregated final model, testing loss: 9.5916e-01, testing acc: 66.16% ( 6616/10000), training loss: 1.12, training acc: 60.38%
[21/11/24 01:26:51, INFO, FSL_SAGE_main.py:main():358]  > R 22, for the weighted aggregated final model, testing loss: 9.4434e-01, testing acc: 66.32% ( 6632/10000), training loss: 1.10, training acc: 60.91%
[21/11/24 01:27:16, INFO, FSL_SAGE_main.py:main():358]  > R 23, for the weighted aggregated final model, testing loss: 9.4531e-01, testing acc: 66.57% ( 6657/10000), training loss: 1.10, training acc: 60.88%
[21/11/24 01:27:41, INFO, FSL_SAGE_main.py:main():358]  > R 24, for the weighted aggregated final model, testing loss: 9.3614e-01, testing acc: 67.50% ( 6750/10000), training loss: 1.09, training acc: 61.47%
[21/11/24 01:28:06, INFO, FSL_SAGE_main.py:main():358]  > R 25, for the weighted aggregated final model, testing loss: 9.3368e-01, testing acc: 67.38% ( 6738/10000), training loss: 1.08, training acc: 61.45%
[21/11/24 01:28:31, INFO, FSL_SAGE_main.py:main():358]  > R 26, for the weighted aggregated final model, testing loss: 9.7540e-01, testing acc: 65.55% ( 6555/10000), training loss: 1.13, training acc: 59.76%
[21/11/24 01:28:56, INFO, FSL_SAGE_main.py:main():358]  > R 27, for the weighted aggregated final model, testing loss: 9.1560e-01, testing acc: 67.60% ( 6760/10000), training loss: 1.06, training acc: 62.13%
[21/11/24 01:29:21, INFO, FSL_SAGE_main.py:main():358]  > R 28, for the weighted aggregated final model, testing loss: 9.4023e-01, testing acc: 67.16% ( 6716/10000), training loss: 1.09, training acc: 61.12%
[21/11/24 01:29:46, INFO, FSL_SAGE_main.py:main():358]  > R 29, for the weighted aggregated final model, testing loss: 9.0341e-01, testing acc: 68.17% ( 6817/10000), training loss: 1.06, training acc: 62.59%
[21/11/24 01:30:14, INFO, FSL_SAGE_main.py:main():358]  > R 30, for the weighted aggregated final model, testing loss: 9.0314e-01, testing acc: 68.00% ( 6800/10000), training loss: 1.05, training acc: 62.69%
[21/11/24 01:30:39, INFO, FSL_SAGE_main.py:main():358]  > R 31, for the weighted aggregated final model, testing loss: 8.9373e-01, testing acc: 68.63% ( 6863/10000), training loss: 1.05, training acc: 63.11%
[21/11/24 01:31:04, INFO, FSL_SAGE_main.py:main():358]  > R 32, for the weighted aggregated final model, testing loss: 8.9894e-01, testing acc: 68.81% ( 6881/10000), training loss: 1.03, training acc: 63.26%
[21/11/24 01:31:29, INFO, FSL_SAGE_main.py:main():358]  > R 33, for the weighted aggregated final model, testing loss: 9.0131e-01, testing acc: 68.81% ( 6881/10000), training loss: 1.01, training acc: 64.34%
[21/11/24 01:31:54, INFO, FSL_SAGE_main.py:main():358]  > R 34, for the weighted aggregated final model, testing loss: 8.8687e-01, testing acc: 69.09% ( 6909/10000), training loss: 1.02, training acc: 63.69%
[21/11/24 01:32:19, INFO, FSL_SAGE_main.py:main():358]  > R 35, for the weighted aggregated final model, testing loss: 8.6713e-01, testing acc: 69.59% ( 6959/10000), training loss: 1.00, training acc: 64.75%
[21/11/24 01:32:44, INFO, FSL_SAGE_main.py:main():358]  > R 36, for the weighted aggregated final model, testing loss: 8.4748e-01, testing acc: 70.31% ( 7031/10000), training loss: 0.98, training acc: 65.63%
[21/11/24 01:33:09, INFO, FSL_SAGE_main.py:main():358]  > R 37, for the weighted aggregated final model, testing loss: 8.7914e-01, testing acc: 68.77% ( 6877/10000), training loss: 1.01, training acc: 64.06%
[21/11/24 01:33:34, INFO, FSL_SAGE_main.py:main():358]  > R 38, for the weighted aggregated final model, testing loss: 8.5580e-01, testing acc: 70.38% ( 7038/10000), training loss: 0.99, training acc: 64.82%
[21/11/24 01:33:59, INFO, FSL_SAGE_main.py:main():358]  > R 39, for the weighted aggregated final model, testing loss: 8.5686e-01, testing acc: 70.34% ( 7034/10000), training loss: 0.99, training acc: 65.09%
[21/11/24 01:34:27, INFO, FSL_SAGE_main.py:main():358]  > R 40, for the weighted aggregated final model, testing loss: 8.3986e-01, testing acc: 70.55% ( 7055/10000), training loss: 0.99, training acc: 65.28%
[21/11/24 01:34:52, INFO, FSL_SAGE_main.py:main():358]  > R 41, for the weighted aggregated final model, testing loss: 8.3416e-01, testing acc: 70.71% ( 7071/10000), training loss: 0.97, training acc: 65.33%
[21/11/24 01:35:17, INFO, FSL_SAGE_main.py:main():358]  > R 42, for the weighted aggregated final model, testing loss: 8.4577e-01, testing acc: 70.74% ( 7074/10000), training loss: 0.98, training acc: 65.38%
[21/11/24 01:35:42, INFO, FSL_SAGE_main.py:main():358]  > R 43, for the weighted aggregated final model, testing loss: 8.3711e-01, testing acc: 70.62% ( 7062/10000), training loss: 0.96, training acc: 65.96%
[21/11/24 01:36:07, INFO, FSL_SAGE_main.py:main():358]  > R 44, for the weighted aggregated final model, testing loss: 8.4480e-01, testing acc: 70.70% ( 7070/10000), training loss: 0.97, training acc: 65.72%
[21/11/24 01:36:32, INFO, FSL_SAGE_main.py:main():358]  > R 45, for the weighted aggregated final model, testing loss: 8.5349e-01, testing acc: 70.12% ( 7012/10000), training loss: 0.98, training acc: 65.14%
[21/11/24 01:36:57, INFO, FSL_SAGE_main.py:main():358]  > R 46, for the weighted aggregated final model, testing loss: 8.3072e-01, testing acc: 70.94% ( 7094/10000), training loss: 0.97, training acc: 65.77%
[21/11/24 01:37:22, INFO, FSL_SAGE_main.py:main():358]  > R 47, for the weighted aggregated final model, testing loss: 8.0602e-01, testing acc: 71.82% ( 7182/10000), training loss: 0.92, training acc: 67.72%
[21/11/24 01:37:47, INFO, FSL_SAGE_main.py:main():358]  > R 48, for the weighted aggregated final model, testing loss: 8.1418e-01, testing acc: 71.33% ( 7133/10000), training loss: 0.94, training acc: 66.68%
[21/11/24 01:38:12, INFO, FSL_SAGE_main.py:main():358]  > R 49, for the weighted aggregated final model, testing loss: 8.1719e-01, testing acc: 71.14% ( 7114/10000), training loss: 0.94, training acc: 66.65%
[21/11/24 01:38:40, INFO, FSL_SAGE_main.py:main():358]  > R 50, for the weighted aggregated final model, testing loss: 8.0955e-01, testing acc: 71.97% ( 7197/10000), training loss: 0.94, training acc: 66.36%
[21/11/24 01:39:05, INFO, FSL_SAGE_main.py:main():358]  > R 51, for the weighted aggregated final model, testing loss: 8.0674e-01, testing acc: 72.30% ( 7230/10000), training loss: 0.93, training acc: 67.31%
[21/11/24 01:39:30, INFO, FSL_SAGE_main.py:main():358]  > R 52, for the weighted aggregated final model, testing loss: 8.1720e-01, testing acc: 72.10% ( 7210/10000), training loss: 0.94, training acc: 66.89%
[21/11/24 01:39:55, INFO, FSL_SAGE_main.py:main():358]  > R 53, for the weighted aggregated final model, testing loss: 8.1981e-01, testing acc: 71.17% ( 7117/10000), training loss: 0.94, training acc: 66.55%
[21/11/24 01:40:20, INFO, FSL_SAGE_main.py:main():358]  > R 54, for the weighted aggregated final model, testing loss: 8.1327e-01, testing acc: 71.24% ( 7124/10000), training loss: 0.93, training acc: 66.69%
[21/11/24 01:40:44, INFO, FSL_SAGE_main.py:main():358]  > R 55, for the weighted aggregated final model, testing loss: 7.8251e-01, testing acc: 72.71% ( 7271/10000), training loss: 0.90, training acc: 68.08%
[21/11/24 01:41:09, INFO, FSL_SAGE_main.py:main():358]  > R 56, for the weighted aggregated final model, testing loss: 8.0052e-01, testing acc: 72.27% ( 7227/10000), training loss: 0.92, training acc: 67.94%
[21/11/24 01:41:33, INFO, FSL_SAGE_main.py:main():358]  > R 57, for the weighted aggregated final model, testing loss: 7.9431e-01, testing acc: 72.27% ( 7227/10000), training loss: 0.90, training acc: 67.93%
[21/11/24 01:41:58, INFO, FSL_SAGE_main.py:main():358]  > R 58, for the weighted aggregated final model, testing loss: 7.8847e-01, testing acc: 72.26% ( 7226/10000), training loss: 0.91, training acc: 67.98%
[21/11/24 01:42:23, INFO, FSL_SAGE_main.py:main():358]  > R 59, for the weighted aggregated final model, testing loss: 7.6411e-01, testing acc: 73.34% ( 7334/10000), training loss: 0.88, training acc: 68.68%
[21/11/24 01:42:50, INFO, FSL_SAGE_main.py:main():358]  > R 60, for the weighted aggregated final model, testing loss: 7.7317e-01, testing acc: 73.09% ( 7309/10000), training loss: 0.89, training acc: 68.78%
[21/11/24 01:43:15, INFO, FSL_SAGE_main.py:main():358]  > R 61, for the weighted aggregated final model, testing loss: 7.8829e-01, testing acc: 72.52% ( 7252/10000), training loss: 0.89, training acc: 68.71%
[21/11/24 01:43:40, INFO, FSL_SAGE_main.py:main():358]  > R 62, for the weighted aggregated final model, testing loss: 7.9461e-01, testing acc: 72.90% ( 7290/10000), training loss: 0.91, training acc: 68.03%
[21/11/24 01:44:04, INFO, FSL_SAGE_main.py:main():358]  > R 63, for the weighted aggregated final model, testing loss: 7.6516e-01, testing acc: 73.43% ( 7343/10000), training loss: 0.89, training acc: 69.04%
[21/11/24 01:44:29, INFO, FSL_SAGE_main.py:main():358]  > R 64, for the weighted aggregated final model, testing loss: 7.7814e-01, testing acc: 72.42% ( 7242/10000), training loss: 0.89, training acc: 68.60%
[21/11/24 01:44:54, INFO, FSL_SAGE_main.py:main():358]  > R 65, for the weighted aggregated final model, testing loss: 7.5894e-01, testing acc: 73.79% ( 7379/10000), training loss: 0.87, training acc: 69.21%
[21/11/24 01:45:19, INFO, FSL_SAGE_main.py:main():358]  > R 66, for the weighted aggregated final model, testing loss: 7.8887e-01, testing acc: 72.60% ( 7260/10000), training loss: 0.91, training acc: 68.06%
[21/11/24 01:45:44, INFO, FSL_SAGE_main.py:main():358]  > R 67, for the weighted aggregated final model, testing loss: 7.7682e-01, testing acc: 72.96% ( 7296/10000), training loss: 0.88, training acc: 68.80%
[21/11/24 01:46:08, INFO, FSL_SAGE_main.py:main():358]  > R 68, for the weighted aggregated final model, testing loss: 7.4308e-01, testing acc: 74.04% ( 7404/10000), training loss: 0.86, training acc: 69.93%
[21/11/24 01:46:33, INFO, FSL_SAGE_main.py:main():358]  > R 69, for the weighted aggregated final model, testing loss: 7.5374e-01, testing acc: 73.79% ( 7379/10000), training loss: 0.87, training acc: 69.22%
[21/11/24 01:47:01, INFO, FSL_SAGE_main.py:main():358]  > R 70, for the weighted aggregated final model, testing loss: 7.5011e-01, testing acc: 74.50% ( 7450/10000), training loss: 0.87, training acc: 69.63%
[21/11/24 01:47:25, INFO, FSL_SAGE_main.py:main():358]  > R 71, for the weighted aggregated final model, testing loss: 7.5768e-01, testing acc: 73.57% ( 7357/10000), training loss: 0.86, training acc: 69.96%
[21/11/24 01:47:50, INFO, FSL_SAGE_main.py:main():358]  > R 72, for the weighted aggregated final model, testing loss: 7.5963e-01, testing acc: 73.74% ( 7374/10000), training loss: 0.87, training acc: 69.55%
[21/11/24 01:48:15, INFO, FSL_SAGE_main.py:main():358]  > R 73, for the weighted aggregated final model, testing loss: 7.5640e-01, testing acc: 73.85% ( 7385/10000), training loss: 0.85, training acc: 69.85%
[21/11/24 01:48:40, INFO, FSL_SAGE_main.py:main():358]  > R 74, for the weighted aggregated final model, testing loss: 7.4973e-01, testing acc: 74.55% ( 7455/10000), training loss: 0.84, training acc: 70.51%
[21/11/24 01:49:05, INFO, FSL_SAGE_main.py:main():358]  > R 75, for the weighted aggregated final model, testing loss: 7.4264e-01, testing acc: 73.68% ( 7368/10000), training loss: 0.84, training acc: 70.34%
[21/11/24 01:49:29, INFO, FSL_SAGE_main.py:main():358]  > R 76, for the weighted aggregated final model, testing loss: 7.4149e-01, testing acc: 74.22% ( 7422/10000), training loss: 0.85, training acc: 69.78%
[21/11/24 01:49:54, INFO, FSL_SAGE_main.py:main():358]  > R 77, for the weighted aggregated final model, testing loss: 7.4123e-01, testing acc: 74.57% ( 7457/10000), training loss: 0.84, training acc: 70.26%
[21/11/24 01:50:19, INFO, FSL_SAGE_main.py:main():358]  > R 78, for the weighted aggregated final model, testing loss: 7.3432e-01, testing acc: 74.32% ( 7432/10000), training loss: 0.84, training acc: 70.55%
[21/11/24 01:50:44, INFO, FSL_SAGE_main.py:main():358]  > R 79, for the weighted aggregated final model, testing loss: 7.4587e-01, testing acc: 74.08% ( 7408/10000), training loss: 0.86, training acc: 69.82%
[21/11/24 01:51:11, INFO, FSL_SAGE_main.py:main():358]  > R 80, for the weighted aggregated final model, testing loss: 7.3668e-01, testing acc: 74.45% ( 7445/10000), training loss: 0.85, training acc: 70.06%
[21/11/24 01:51:36, INFO, FSL_SAGE_main.py:main():358]  > R 81, for the weighted aggregated final model, testing loss: 7.2966e-01, testing acc: 74.72% ( 7472/10000), training loss: 0.84, training acc: 70.51%
[21/11/24 01:52:01, INFO, FSL_SAGE_main.py:main():358]  > R 82, for the weighted aggregated final model, testing loss: 7.2216e-01, testing acc: 74.93% ( 7493/10000), training loss: 0.83, training acc: 70.94%
[21/11/24 01:52:26, INFO, FSL_SAGE_main.py:main():358]  > R 83, for the weighted aggregated final model, testing loss: 7.2199e-01, testing acc: 75.20% ( 7520/10000), training loss: 0.83, training acc: 71.20%
[21/11/24 01:52:51, INFO, FSL_SAGE_main.py:main():358]  > R 84, for the weighted aggregated final model, testing loss: 7.3321e-01, testing acc: 74.73% ( 7473/10000), training loss: 0.85, training acc: 70.10%
[21/11/24 01:53:15, INFO, FSL_SAGE_main.py:main():358]  > R 85, for the weighted aggregated final model, testing loss: 7.1972e-01, testing acc: 74.84% ( 7484/10000), training loss: 0.82, training acc: 71.17%
[21/11/24 01:53:40, INFO, FSL_SAGE_main.py:main():358]  > R 86, for the weighted aggregated final model, testing loss: 7.3032e-01, testing acc: 74.82% ( 7482/10000), training loss: 0.83, training acc: 70.83%
[21/11/24 01:54:05, INFO, FSL_SAGE_main.py:main():358]  > R 87, for the weighted aggregated final model, testing loss: 7.2427e-01, testing acc: 74.45% ( 7445/10000), training loss: 0.84, training acc: 70.18%
[21/11/24 01:54:30, INFO, FSL_SAGE_main.py:main():358]  > R 88, for the weighted aggregated final model, testing loss: 7.3023e-01, testing acc: 74.45% ( 7445/10000), training loss: 0.84, training acc: 70.15%
[21/11/24 01:54:54, INFO, FSL_SAGE_main.py:main():358]  > R 89, for the weighted aggregated final model, testing loss: 7.1471e-01, testing acc: 75.13% ( 7513/10000), training loss: 0.82, training acc: 71.18%
[21/11/24 01:55:22, INFO, FSL_SAGE_main.py:main():358]  > R 90, for the weighted aggregated final model, testing loss: 7.1531e-01, testing acc: 74.90% ( 7490/10000), training loss: 0.81, training acc: 71.34%
[21/11/24 01:55:47, INFO, FSL_SAGE_main.py:main():358]  > R 91, for the weighted aggregated final model, testing loss: 7.0912e-01, testing acc: 75.32% ( 7532/10000), training loss: 0.82, training acc: 71.24%
[21/11/24 01:56:12, INFO, FSL_SAGE_main.py:main():358]  > R 92, for the weighted aggregated final model, testing loss: 7.4325e-01, testing acc: 73.91% ( 7391/10000), training loss: 0.84, training acc: 70.13%
[21/11/24 01:56:36, INFO, FSL_SAGE_main.py:main():358]  > R 93, for the weighted aggregated final model, testing loss: 7.2808e-01, testing acc: 74.63% ( 7463/10000), training loss: 0.82, training acc: 70.93%
[21/11/24 01:57:01, INFO, FSL_SAGE_main.py:main():358]  > R 94, for the weighted aggregated final model, testing loss: 7.2213e-01, testing acc: 75.03% ( 7503/10000), training loss: 0.82, training acc: 71.11%
[21/11/24 01:57:26, INFO, FSL_SAGE_main.py:main():358]  > R 95, for the weighted aggregated final model, testing loss: 7.1576e-01, testing acc: 75.07% ( 7507/10000), training loss: 0.82, training acc: 70.90%
[21/11/24 01:57:51, INFO, FSL_SAGE_main.py:main():358]  > R 96, for the weighted aggregated final model, testing loss: 7.1097e-01, testing acc: 75.57% ( 7557/10000), training loss: 0.80, training acc: 71.88%
[21/11/24 01:58:16, INFO, FSL_SAGE_main.py:main():358]  > R 97, for the weighted aggregated final model, testing loss: 7.1389e-01, testing acc: 75.36% ( 7536/10000), training loss: 0.83, training acc: 70.79%
[21/11/24 01:58:40, INFO, FSL_SAGE_main.py:main():358]  > R 98, for the weighted aggregated final model, testing loss: 7.2624e-01, testing acc: 74.92% ( 7492/10000), training loss: 0.81, training acc: 71.21%
[21/11/24 01:59:05, INFO, FSL_SAGE_main.py:main():358]  > R 99, for the weighted aggregated final model, testing loss: 7.2116e-01, testing acc: 75.14% ( 7514/10000), training loss: 0.82, training acc: 71.15%
[21/11/24 01:59:33, INFO, FSL_SAGE_main.py:main():358]  > R 100, for the weighted aggregated final model, testing loss: 7.2235e-01, testing acc: 75.28% ( 7528/10000), training loss: 0.81, training acc: 71.22%
[21/11/24 01:59:57, INFO, FSL_SAGE_main.py:main():358]  > R 101, for the weighted aggregated final model, testing loss: 7.1090e-01, testing acc: 75.65% ( 7565/10000), training loss: 0.81, training acc: 71.81%
[21/11/24 02:00:22, INFO, FSL_SAGE_main.py:main():358]  > R 102, for the weighted aggregated final model, testing loss: 7.0449e-01, testing acc: 76.13% ( 7613/10000), training loss: 0.80, training acc: 72.21%
[21/11/24 02:00:47, INFO, FSL_SAGE_main.py:main():358]  > R 103, for the weighted aggregated final model, testing loss: 6.9365e-01, testing acc: 75.82% ( 7582/10000), training loss: 0.79, training acc: 72.24%
[21/11/24 02:01:12, INFO, FSL_SAGE_main.py:main():358]  > R 104, for the weighted aggregated final model, testing loss: 7.1651e-01, testing acc: 75.30% ( 7530/10000), training loss: 0.81, training acc: 71.40%
[21/11/24 02:01:37, INFO, FSL_SAGE_main.py:main():358]  > R 105, for the weighted aggregated final model, testing loss: 7.1150e-01, testing acc: 75.50% ( 7550/10000), training loss: 0.80, training acc: 71.81%
[21/11/24 02:02:01, INFO, FSL_SAGE_main.py:main():358]  > R 106, for the weighted aggregated final model, testing loss: 6.9438e-01, testing acc: 76.18% ( 7618/10000), training loss: 0.79, training acc: 72.06%
[21/11/24 02:02:26, INFO, FSL_SAGE_main.py:main():358]  > R 107, for the weighted aggregated final model, testing loss: 7.0179e-01, testing acc: 75.71% ( 7571/10000), training loss: 0.81, training acc: 71.60%
[21/11/24 02:02:51, INFO, FSL_SAGE_main.py:main():358]  > R 108, for the weighted aggregated final model, testing loss: 6.9476e-01, testing acc: 75.90% ( 7590/10000), training loss: 0.79, training acc: 71.85%
[21/11/24 02:03:16, INFO, FSL_SAGE_main.py:main():358]  > R 109, for the weighted aggregated final model, testing loss: 7.1200e-01, testing acc: 75.54% ( 7554/10000), training loss: 0.80, training acc: 71.83%
[21/11/24 02:03:43, INFO, FSL_SAGE_main.py:main():358]  > R 110, for the weighted aggregated final model, testing loss: 7.0883e-01, testing acc: 75.33% ( 7533/10000), training loss: 0.80, training acc: 72.00%
[21/11/24 02:04:08, INFO, FSL_SAGE_main.py:main():358]  > R 111, for the weighted aggregated final model, testing loss: 7.0261e-01, testing acc: 75.53% ( 7553/10000), training loss: 0.80, training acc: 71.70%
[21/11/24 02:04:33, INFO, FSL_SAGE_main.py:main():358]  > R 112, for the weighted aggregated final model, testing loss: 7.0289e-01, testing acc: 75.17% ( 7517/10000), training loss: 0.80, training acc: 71.90%
[21/11/24 02:04:57, INFO, FSL_SAGE_main.py:main():358]  > R 113, for the weighted aggregated final model, testing loss: 7.0237e-01, testing acc: 75.60% ( 7560/10000), training loss: 0.79, training acc: 72.12%
[21/11/24 02:05:22, INFO, FSL_SAGE_main.py:main():358]  > R 114, for the weighted aggregated final model, testing loss: 7.1617e-01, testing acc: 74.96% ( 7496/10000), training loss: 0.80, training acc: 72.11%
[21/11/24 02:05:47, INFO, FSL_SAGE_main.py:main():358]  > R 115, for the weighted aggregated final model, testing loss: 6.9719e-01, testing acc: 75.69% ( 7569/10000), training loss: 0.79, training acc: 72.34%
[21/11/24 02:06:11, INFO, FSL_SAGE_main.py:main():358]  > R 116, for the weighted aggregated final model, testing loss: 7.1897e-01, testing acc: 74.56% ( 7456/10000), training loss: 0.80, training acc: 71.58%
[21/11/24 02:06:36, INFO, FSL_SAGE_main.py:main():358]  > R 117, for the weighted aggregated final model, testing loss: 6.8027e-01, testing acc: 76.33% ( 7633/10000), training loss: 0.77, training acc: 72.87%
[21/11/24 02:07:01, INFO, FSL_SAGE_main.py:main():358]  > R 118, for the weighted aggregated final model, testing loss: 6.8276e-01, testing acc: 76.36% ( 7636/10000), training loss: 0.77, training acc: 73.06%
[21/11/24 02:07:26, INFO, FSL_SAGE_main.py:main():358]  > R 119, for the weighted aggregated final model, testing loss: 6.8534e-01, testing acc: 76.27% ( 7627/10000), training loss: 0.78, training acc: 72.71%
[21/11/24 02:07:53, INFO, FSL_SAGE_main.py:main():358]  > R 120, for the weighted aggregated final model, testing loss: 6.7682e-01, testing acc: 76.40% ( 7640/10000), training loss: 0.76, training acc: 73.06%
[21/11/24 02:08:18, INFO, FSL_SAGE_main.py:main():358]  > R 121, for the weighted aggregated final model, testing loss: 6.7208e-01, testing acc: 76.59% ( 7659/10000), training loss: 0.76, training acc: 73.43%
[21/11/24 02:08:43, INFO, FSL_SAGE_main.py:main():358]  > R 122, for the weighted aggregated final model, testing loss: 6.7344e-01, testing acc: 76.37% ( 7637/10000), training loss: 0.76, training acc: 73.40%
[21/11/24 02:09:07, INFO, FSL_SAGE_main.py:main():358]  > R 123, for the weighted aggregated final model, testing loss: 6.9428e-01, testing acc: 75.65% ( 7565/10000), training loss: 0.78, training acc: 72.43%
