[24/11/24 13:41:45, INFO, FSL_SAGE_main.py:<module>():404] Using GPU: True
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():107] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():112] Random seed: 200
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():113] Alignment interval (l): 10
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():114] Batch Round (h): 1
[24/11/24 13:42:14, INFO, FSL_SAGE_main.py:main():353]  > R  0, for the weighted aggregated final model, testing loss: 1.8529e+00, testing acc: 34.91% ( 3491/10000), training loss: 1.93, training acc: 29.45%
[24/11/24 13:48:20, INFO, FSL_SAGE_main.py:main():353]  > R 14, for the weighted aggregated final model, testing loss: 1.1662e+00, testing acc: 58.62% ( 5862/10000), training loss: 1.28, training acc: 53.90%
[24/11/24 13:48:46, INFO, FSL_SAGE_main.py:main():353]  > R 15, for the weighted aggregated final model, testing loss: 1.1649e+00, testing acc: 58.27% ( 5827/10000), training loss: 1.30, training acc: 52.91%
[24/11/24 13:49:12, INFO, FSL_SAGE_main.py:main():353]  > R 16, for the weighted aggregated final model, testing loss: 1.1399e+00, testing acc: 59.30% ( 5930/10000), training loss: 1.27, training acc: 54.66%
[24/11/24 13:49:38, INFO, FSL_SAGE_main.py:main():353]  > R 17, for the weighted aggregated final model, testing loss: 1.1520e+00, testing acc: 58.77% ( 5877/10000), training loss: 1.28, training acc: 53.56%
[24/11/24 13:50:04, INFO, FSL_SAGE_main.py:main():353]  > R 18, for the weighted aggregated final model, testing loss: 1.1177e+00, testing acc: 59.94% ( 5994/10000), training loss: 1.27, training acc: 54.00%
[24/11/24 13:50:30, INFO, FSL_SAGE_main.py:main():353]  > R 19, for the weighted aggregated final model, testing loss: 1.1452e+00, testing acc: 59.46% ( 5946/10000), training loss: 1.27, training acc: 54.34%
[24/11/24 13:50:59, INFO, FSL_SAGE_main.py:main():353]  > R 20, for the weighted aggregated final model, testing loss: 1.0438e+00, testing acc: 63.03% ( 6303/10000), training loss: 1.18, training acc: 58.13%
[24/11/24 13:51:25, INFO, FSL_SAGE_main.py:main():353]  > R 21, for the weighted aggregated final model, testing loss: 1.0253e+00, testing acc: 64.01% ( 6401/10000), training loss: 1.15, training acc: 58.62%
[24/11/24 13:51:51, INFO, FSL_SAGE_main.py:main():353]  > R 22, for the weighted aggregated final model, testing loss: 1.0070e+00, testing acc: 64.55% ( 6455/10000), training loss: 1.13, training acc: 59.64%
[24/11/24 13:52:17, INFO, FSL_SAGE_main.py:main():353]  > R 23, for the weighted aggregated final model, testing loss: 1.0134e+00, testing acc: 64.25% ( 6425/10000), training loss: 1.13, training acc: 59.57%
[24/11/24 13:52:43, INFO, FSL_SAGE_main.py:main():353]  > R 24, for the weighted aggregated final model, testing loss: 9.7206e-01, testing acc: 66.27% ( 6627/10000), training loss: 1.11, training acc: 60.37%
[24/11/24 13:53:09, INFO, FSL_SAGE_main.py:main():353]  > R 25, for the weighted aggregated final model, testing loss: 1.0112e+00, testing acc: 64.85% ( 6485/10000), training loss: 1.15, training acc: 59.95%
[24/11/24 13:53:35, INFO, FSL_SAGE_main.py:main():353]  > R 26, for the weighted aggregated final model, testing loss: 9.7105e-01, testing acc: 66.12% ( 6612/10000), training loss: 1.08, training acc: 61.55%
[24/11/24 13:54:01, INFO, FSL_SAGE_main.py:main():353]  > R 27, for the weighted aggregated final model, testing loss: 9.3518e-01, testing acc: 67.17% ( 6717/10000), training loss: 1.07, training acc: 62.00%
[24/11/24 13:54:27, INFO, FSL_SAGE_main.py:main():353]  > R 28, for the weighted aggregated final model, testing loss: 9.2832e-01, testing acc: 67.79% ( 6779/10000), training loss: 1.06, training acc: 62.16%
[24/11/24 13:54:52, INFO, FSL_SAGE_main.py:main():353]  > R 29, for the weighted aggregated final model, testing loss: 9.2895e-01, testing acc: 67.22% ( 6722/10000), training loss: 1.04, training acc: 62.89%
[24/11/24 13:55:22, INFO, FSL_SAGE_main.py:main():353]  > R 30, for the weighted aggregated final model, testing loss: 9.4038e-01, testing acc: 66.80% ( 6680/10000), training loss: 1.04, training acc: 63.16%
[24/11/24 13:55:47, INFO, FSL_SAGE_main.py:main():353]  > R 31, for the weighted aggregated final model, testing loss: 9.3118e-01, testing acc: 67.32% ( 6732/10000), training loss: 1.05, training acc: 62.51%
[24/11/24 13:56:13, INFO, FSL_SAGE_main.py:main():353]  > R 32, for the weighted aggregated final model, testing loss: 9.2032e-01, testing acc: 67.73% ( 6773/10000), training loss: 1.03, training acc: 63.09%
[24/11/24 13:56:39, INFO, FSL_SAGE_main.py:main():353]  > R 33, for the weighted aggregated final model, testing loss: 9.0352e-01, testing acc: 68.57% ( 6857/10000), training loss: 1.02, training acc: 63.86%
[24/11/24 13:57:05, INFO, FSL_SAGE_main.py:main():353]  > R 34, for the weighted aggregated final model, testing loss: 8.6726e-01, testing acc: 69.74% ( 6974/10000), training loss: 0.97, training acc: 65.72%
[24/11/24 13:57:31, INFO, FSL_SAGE_main.py:main():353]  > R 35, for the weighted aggregated final model, testing loss: 8.8860e-01, testing acc: 69.33% ( 6933/10000), training loss: 0.99, training acc: 65.06%
[24/11/24 13:57:57, INFO, FSL_SAGE_main.py:main():353]  > R 36, for the weighted aggregated final model, testing loss: 8.5993e-01, testing acc: 69.59% ( 6959/10000), training loss: 0.97, training acc: 65.55%
[24/11/24 13:58:23, INFO, FSL_SAGE_main.py:main():353]  > R 37, for the weighted aggregated final model, testing loss: 8.4863e-01, testing acc: 70.57% ( 7057/10000), training loss: 0.97, training acc: 65.73%
[24/11/24 13:58:49, INFO, FSL_SAGE_main.py:main():353]  > R 38, for the weighted aggregated final model, testing loss: 8.4373e-01, testing acc: 70.66% ( 7066/10000), training loss: 0.95, training acc: 66.49%
[24/11/24 13:59:15, INFO, FSL_SAGE_main.py:main():353]  > R 39, for the weighted aggregated final model, testing loss: 8.5678e-01, testing acc: 70.17% ( 7017/10000), training loss: 0.97, training acc: 65.75%
[24/11/24 13:59:44, INFO, FSL_SAGE_main.py:main():353]  > R 40, for the weighted aggregated final model, testing loss: 8.5578e-01, testing acc: 70.35% ( 7035/10000), training loss: 0.97, training acc: 65.88%
[24/11/24 14:00:10, INFO, FSL_SAGE_main.py:main():353]  > R 41, for the weighted aggregated final model, testing loss: 8.4876e-01, testing acc: 70.07% ( 7007/10000), training loss: 0.95, training acc: 66.20%
[24/11/24 14:00:36, INFO, FSL_SAGE_main.py:main():353]  > R 42, for the weighted aggregated final model, testing loss: 8.2212e-01, testing acc: 71.49% ( 7149/10000), training loss: 0.94, training acc: 66.63%
[24/11/24 14:01:02, INFO, FSL_SAGE_main.py:main():353]  > R 43, for the weighted aggregated final model, testing loss: 8.2300e-01, testing acc: 71.33% ( 7133/10000), training loss: 0.94, training acc: 66.49%
[24/11/24 14:01:28, INFO, FSL_SAGE_main.py:main():353]  > R 44, for the weighted aggregated final model, testing loss: 8.1254e-01, testing acc: 71.59% ( 7159/10000), training loss: 0.92, training acc: 67.32%
[24/11/24 14:01:54, INFO, FSL_SAGE_main.py:main():353]  > R 45, for the weighted aggregated final model, testing loss: 8.3136e-01, testing acc: 70.77% ( 7077/10000), training loss: 0.93, training acc: 66.99%
[24/11/24 14:02:20, INFO, FSL_SAGE_main.py:main():353]  > R 46, for the weighted aggregated final model, testing loss: 8.2035e-01, testing acc: 71.30% ( 7130/10000), training loss: 0.92, training acc: 67.60%
[24/11/24 14:02:45, INFO, FSL_SAGE_main.py:main():353]  > R 47, for the weighted aggregated final model, testing loss: 8.1016e-01, testing acc: 71.88% ( 7188/10000), training loss: 0.92, training acc: 67.23%
[24/11/24 14:03:11, INFO, FSL_SAGE_main.py:main():353]  > R 48, for the weighted aggregated final model, testing loss: 7.9538e-01, testing acc: 72.19% ( 7219/10000), training loss: 0.90, training acc: 68.29%
[24/11/24 14:03:37, INFO, FSL_SAGE_main.py:main():353]  > R 49, for the weighted aggregated final model, testing loss: 7.9403e-01, testing acc: 72.20% ( 7220/10000), training loss: 0.89, training acc: 68.44%
[24/11/24 14:04:06, INFO, FSL_SAGE_main.py:main():353]  > R 50, for the weighted aggregated final model, testing loss: 7.9920e-01, testing acc: 72.05% ( 7205/10000), training loss: 0.91, training acc: 67.86%
[24/11/24 14:04:32, INFO, FSL_SAGE_main.py:main():353]  > R 51, for the weighted aggregated final model, testing loss: 7.9273e-01, testing acc: 72.38% ( 7238/10000), training loss: 0.88, training acc: 68.74%
[24/11/24 14:04:58, INFO, FSL_SAGE_main.py:main():353]  > R 52, for the weighted aggregated final model, testing loss: 7.9478e-01, testing acc: 72.11% ( 7211/10000), training loss: 0.90, training acc: 68.06%
[24/11/24 14:05:24, INFO, FSL_SAGE_main.py:main():353]  > R 53, for the weighted aggregated final model, testing loss: 7.8576e-01, testing acc: 72.76% ( 7276/10000), training loss: 0.88, training acc: 69.10%
[24/11/24 14:05:50, INFO, FSL_SAGE_main.py:main():353]  > R 54, for the weighted aggregated final model, testing loss: 7.9298e-01, testing acc: 72.52% ( 7252/10000), training loss: 0.88, training acc: 68.82%
[24/11/24 14:06:16, INFO, FSL_SAGE_main.py:main():353]  > R 55, for the weighted aggregated final model, testing loss: 7.8111e-01, testing acc: 72.86% ( 7286/10000), training loss: 0.87, training acc: 69.01%
[24/11/24 14:06:42, INFO, FSL_SAGE_main.py:main():353]  > R 56, for the weighted aggregated final model, testing loss: 7.5224e-01, testing acc: 73.69% ( 7369/10000), training loss: 0.85, training acc: 69.85%
[24/11/24 14:07:08, INFO, FSL_SAGE_main.py:main():353]  > R 57, for the weighted aggregated final model, testing loss: 7.7445e-01, testing acc: 73.09% ( 7309/10000), training loss: 0.86, training acc: 69.38%
[24/11/24 14:07:34, INFO, FSL_SAGE_main.py:main():353]  > R 58, for the weighted aggregated final model, testing loss: 7.6459e-01, testing acc: 73.56% ( 7356/10000), training loss: 0.87, training acc: 69.48%
[24/11/24 14:08:00, INFO, FSL_SAGE_main.py:main():353]  > R 59, for the weighted aggregated final model, testing loss: 7.6403e-01, testing acc: 72.96% ( 7296/10000), training loss: 0.85, training acc: 70.09%
[24/11/24 14:08:29, INFO, FSL_SAGE_main.py:main():353]  > R 60, for the weighted aggregated final model, testing loss: 7.7421e-01, testing acc: 73.11% ( 7311/10000), training loss: 0.87, training acc: 69.55%
[24/11/24 14:08:54, INFO, FSL_SAGE_main.py:main():353]  > R 61, for the weighted aggregated final model, testing loss: 7.8106e-01, testing acc: 73.21% ( 7321/10000), training loss: 0.88, training acc: 68.81%
[24/11/24 14:09:20, INFO, FSL_SAGE_main.py:main():353]  > R 62, for the weighted aggregated final model, testing loss: 7.5362e-01, testing acc: 73.47% ( 7347/10000), training loss: 0.85, training acc: 70.04%
[24/11/24 14:09:46, INFO, FSL_SAGE_main.py:main():353]  > R 63, for the weighted aggregated final model, testing loss: 7.4936e-01, testing acc: 74.10% ( 7410/10000), training loss: 0.83, training acc: 70.55%
[24/11/24 14:10:12, INFO, FSL_SAGE_main.py:main():353]  > R 64, for the weighted aggregated final model, testing loss: 7.4884e-01, testing acc: 74.02% ( 7402/10000), training loss: 0.84, training acc: 70.33%
[24/11/24 14:10:38, INFO, FSL_SAGE_main.py:main():353]  > R 65, for the weighted aggregated final model, testing loss: 7.4927e-01, testing acc: 73.71% ( 7371/10000), training loss: 0.82, training acc: 70.92%
[24/11/24 14:11:04, INFO, FSL_SAGE_main.py:main():353]  > R 66, for the weighted aggregated final model, testing loss: 7.3932e-01, testing acc: 74.04% ( 7404/10000), training loss: 0.81, training acc: 71.38%
[24/11/24 14:11:30, INFO, FSL_SAGE_main.py:main():353]  > R 67, for the weighted aggregated final model, testing loss: 7.5105e-01, testing acc: 74.11% ( 7411/10000), training loss: 0.83, training acc: 70.90%
[24/11/24 14:11:56, INFO, FSL_SAGE_main.py:main():353]  > R 68, for the weighted aggregated final model, testing loss: 7.4553e-01, testing acc: 74.18% ( 7418/10000), training loss: 0.82, training acc: 71.51%
[24/11/24 14:12:22, INFO, FSL_SAGE_main.py:main():353]  > R 69, for the weighted aggregated final model, testing loss: 7.3818e-01, testing acc: 74.29% ( 7429/10000), training loss: 0.80, training acc: 71.61%
[24/11/24 14:12:51, INFO, FSL_SAGE_main.py:main():353]  > R 70, for the weighted aggregated final model, testing loss: 7.5086e-01, testing acc: 73.72% ( 7372/10000), training loss: 0.83, training acc: 70.70%
[24/11/24 14:13:17, INFO, FSL_SAGE_main.py:main():353]  > R 71, for the weighted aggregated final model, testing loss: 7.4370e-01, testing acc: 74.10% ( 7410/10000), training loss: 0.82, training acc: 71.14%
[24/11/24 14:13:43, INFO, FSL_SAGE_main.py:main():353]  > R 72, for the weighted aggregated final model, testing loss: 7.3666e-01, testing acc: 74.18% ( 7418/10000), training loss: 0.81, training acc: 71.35%
[24/11/24 14:14:09, INFO, FSL_SAGE_main.py:main():353]  > R 73, for the weighted aggregated final model, testing loss: 7.4215e-01, testing acc: 73.82% ( 7382/10000), training loss: 0.80, training acc: 71.52%
[24/11/24 14:14:35, INFO, FSL_SAGE_main.py:main():353]  > R 74, for the weighted aggregated final model, testing loss: 7.3275e-01, testing acc: 74.64% ( 7464/10000), training loss: 0.79, training acc: 71.75%
[24/11/24 14:15:01, INFO, FSL_SAGE_main.py:main():353]  > R 75, for the weighted aggregated final model, testing loss: 7.4034e-01, testing acc: 74.27% ( 7427/10000), training loss: 0.81, training acc: 71.50%
[24/11/24 14:15:27, INFO, FSL_SAGE_main.py:main():353]  > R 76, for the weighted aggregated final model, testing loss: 7.4666e-01, testing acc: 74.43% ( 7443/10000), training loss: 0.83, training acc: 70.67%
[24/11/24 14:15:53, INFO, FSL_SAGE_main.py:main():353]  > R 77, for the weighted aggregated final model, testing loss: 7.2451e-01, testing acc: 74.98% ( 7498/10000), training loss: 0.79, training acc: 72.09%
[24/11/24 14:16:19, INFO, FSL_SAGE_main.py:main():353]  > R 78, for the weighted aggregated final model, testing loss: 7.3027e-01, testing acc: 74.70% ( 7470/10000), training loss: 0.79, training acc: 72.04%
[24/11/24 14:16:45, INFO, FSL_SAGE_main.py:main():353]  > R 79, for the weighted aggregated final model, testing loss: 7.1082e-01, testing acc: 75.52% ( 7552/10000), training loss: 0.77, training acc: 72.57%
[24/11/24 14:17:14, INFO, FSL_SAGE_main.py:main():353]  > R 80, for the weighted aggregated final model, testing loss: 7.2906e-01, testing acc: 74.44% ( 7444/10000), training loss: 0.78, training acc: 72.23%
[24/11/24 14:17:40, INFO, FSL_SAGE_main.py:main():353]  > R 81, for the weighted aggregated final model, testing loss: 7.3280e-01, testing acc: 74.87% ( 7487/10000), training loss: 0.78, training acc: 72.41%
[24/11/24 14:18:06, INFO, FSL_SAGE_main.py:main():353]  > R 82, for the weighted aggregated final model, testing loss: 7.1686e-01, testing acc: 75.03% ( 7503/10000), training loss: 0.78, training acc: 72.59%
[24/11/24 14:18:32, INFO, FSL_SAGE_main.py:main():353]  > R 83, for the weighted aggregated final model, testing loss: 7.2888e-01, testing acc: 74.99% ( 7499/10000), training loss: 0.80, training acc: 72.03%
[24/11/24 14:18:58, INFO, FSL_SAGE_main.py:main():353]  > R 84, for the weighted aggregated final model, testing loss: 7.2456e-01, testing acc: 74.57% ( 7457/10000), training loss: 0.79, training acc: 72.20%
[24/11/24 14:19:24, INFO, FSL_SAGE_main.py:main():353]  > R 85, for the weighted aggregated final model, testing loss: 7.2197e-01, testing acc: 75.23% ( 7523/10000), training loss: 0.78, training acc: 72.58%
[24/11/24 14:19:50, INFO, FSL_SAGE_main.py:main():353]  > R 86, for the weighted aggregated final model, testing loss: 7.0937e-01, testing acc: 75.43% ( 7543/10000), training loss: 0.77, training acc: 72.85%
[24/11/24 14:20:16, INFO, FSL_SAGE_main.py:main():353]  > R 87, for the weighted aggregated final model, testing loss: 7.3418e-01, testing acc: 74.62% ( 7462/10000), training loss: 0.78, training acc: 72.25%
[24/11/24 14:20:42, INFO, FSL_SAGE_main.py:main():353]  > R 88, for the weighted aggregated final model, testing loss: 7.0967e-01, testing acc: 75.75% ( 7575/10000), training loss: 0.76, training acc: 73.40%
[24/11/24 14:21:08, INFO, FSL_SAGE_main.py:main():353]  > R 89, for the weighted aggregated final model, testing loss: 7.1475e-01, testing acc: 75.21% ( 7521/10000), training loss: 0.78, training acc: 72.58%
[24/11/24 14:21:37, INFO, FSL_SAGE_main.py:main():353]  > R 90, for the weighted aggregated final model, testing loss: 7.2213e-01, testing acc: 75.38% ( 7538/10000), training loss: 0.78, training acc: 72.44%
[24/11/24 14:22:03, INFO, FSL_SAGE_main.py:main():353]  > R 91, for the weighted aggregated final model, testing loss: 7.2153e-01, testing acc: 74.97% ( 7497/10000), training loss: 0.79, training acc: 72.02%
[24/11/24 14:22:29, INFO, FSL_SAGE_main.py:main():353]  > R 92, for the weighted aggregated final model, testing loss: 6.9397e-01, testing acc: 75.99% ( 7599/10000), training loss: 0.76, training acc: 73.42%
[24/11/24 14:22:55, INFO, FSL_SAGE_main.py:main():353]  > R 93, for the weighted aggregated final model, testing loss: 6.8988e-01, testing acc: 75.97% ( 7597/10000), training loss: 0.75, training acc: 73.71%
[24/11/24 14:23:21, INFO, FSL_SAGE_main.py:main():353]  > R 94, for the weighted aggregated final model, testing loss: 7.0225e-01, testing acc: 76.10% ( 7610/10000), training loss: 0.76, training acc: 73.27%
[24/11/24 14:23:47, INFO, FSL_SAGE_main.py:main():353]  > R 95, for the weighted aggregated final model, testing loss: 6.9533e-01, testing acc: 75.77% ( 7577/10000), training loss: 0.76, training acc: 73.34%
[24/11/24 14:24:13, INFO, FSL_SAGE_main.py:main():353]  > R 96, for the weighted aggregated final model, testing loss: 7.0503e-01, testing acc: 76.06% ( 7606/10000), training loss: 0.76, training acc: 73.19%
[24/11/24 14:24:39, INFO, FSL_SAGE_main.py:main():353]  > R 97, for the weighted aggregated final model, testing loss: 6.9696e-01, testing acc: 75.88% ( 7588/10000), training loss: 0.74, training acc: 74.01%
[24/11/24 14:25:05, INFO, FSL_SAGE_main.py:main():353]  > R 98, for the weighted aggregated final model, testing loss: 7.1103e-01, testing acc: 75.33% ( 7533/10000), training loss: 0.76, training acc: 73.05%
[24/11/24 14:25:31, INFO, FSL_SAGE_main.py:main():353]  > R 99, for the weighted aggregated final model, testing loss: 6.9667e-01, testing acc: 75.68% ( 7568/10000), training loss: 0.74, training acc: 73.77%
[24/11/24 14:26:00, INFO, FSL_SAGE_main.py:main():353]  > R 100, for the weighted aggregated final model, testing loss: 6.9676e-01, testing acc: 75.90% ( 7590/10000), training loss: 0.76, training acc: 73.38%
[24/11/24 14:26:26, INFO, FSL_SAGE_main.py:main():353]  > R 101, for the weighted aggregated final model, testing loss: 6.9193e-01, testing acc: 76.18% ( 7618/10000), training loss: 0.75, training acc: 73.64%
[24/11/24 14:26:52, INFO, FSL_SAGE_main.py:main():353]  > R 102, for the weighted aggregated final model, testing loss: 7.1890e-01, testing acc: 74.95% ( 7495/10000), training loss: 0.76, training acc: 73.11%
[24/11/24 14:27:18, INFO, FSL_SAGE_main.py:main():353]  > R 103, for the weighted aggregated final model, testing loss: 6.8391e-01, testing acc: 76.69% ( 7669/10000), training loss: 0.73, training acc: 74.15%
[24/11/24 14:27:44, INFO, FSL_SAGE_main.py:main():353]  > R 104, for the weighted aggregated final model, testing loss: 6.9812e-01, testing acc: 75.87% ( 7587/10000), training loss: 0.75, training acc: 73.48%
[24/11/24 14:28:10, INFO, FSL_SAGE_main.py:main():353]  > R 105, for the weighted aggregated final model, testing loss: 6.8868e-01, testing acc: 75.71% ( 7571/10000), training loss: 0.73, training acc: 74.26%
[24/11/24 14:28:36, INFO, FSL_SAGE_main.py:main():353]  > R 106, for the weighted aggregated final model, testing loss: 6.8074e-01, testing acc: 76.41% ( 7641/10000), training loss: 0.73, training acc: 74.23%
[24/11/24 14:29:02, INFO, FSL_SAGE_main.py:main():353]  > R 107, for the weighted aggregated final model, testing loss: 6.9859e-01, testing acc: 75.80% ( 7580/10000), training loss: 0.76, training acc: 73.20%
[24/11/24 14:29:27, INFO, FSL_SAGE_main.py:main():353]  > R 108, for the weighted aggregated final model, testing loss: 6.8831e-01, testing acc: 76.61% ( 7661/10000), training loss: 0.73, training acc: 74.36%
[24/11/24 14:29:53, INFO, FSL_SAGE_main.py:main():353]  > R 109, for the weighted aggregated final model, testing loss: 6.7270e-01, testing acc: 77.10% ( 7710/10000), training loss: 0.72, training acc: 74.61%
[24/11/24 14:30:22, INFO, FSL_SAGE_main.py:main():353]  > R 110, for the weighted aggregated final model, testing loss: 6.8199e-01, testing acc: 76.62% ( 7662/10000), training loss: 0.73, training acc: 74.26%
[24/11/24 14:30:48, INFO, FSL_SAGE_main.py:main():353]  > R 111, for the weighted aggregated final model, testing loss: 6.8036e-01, testing acc: 76.60% ( 7660/10000), training loss: 0.73, training acc: 74.71%
[24/11/24 14:31:14, INFO, FSL_SAGE_main.py:main():353]  > R 112, for the weighted aggregated final model, testing loss: 6.7911e-01, testing acc: 76.95% ( 7695/10000), training loss: 0.73, training acc: 74.15%
[24/11/24 14:31:40, INFO, FSL_SAGE_main.py:main():353]  > R 113, for the weighted aggregated final model, testing loss: 6.8664e-01, testing acc: 76.35% ( 7635/10000), training loss: 0.73, training acc: 74.36%
[24/11/24 14:32:05, INFO, FSL_SAGE_main.py:main():353]  > R 114, for the weighted aggregated final model, testing loss: 6.8913e-01, testing acc: 76.22% ( 7622/10000), training loss: 0.74, training acc: 73.79%
[24/11/24 14:32:31, INFO, FSL_SAGE_main.py:main():353]  > R 115, for the weighted aggregated final model, testing loss: 6.7394e-01, testing acc: 77.03% ( 7703/10000), training loss: 0.72, training acc: 74.34%
[24/11/24 14:32:57, INFO, FSL_SAGE_main.py:main():353]  > R 116, for the weighted aggregated final model, testing loss: 6.9428e-01, testing acc: 76.22% ( 7622/10000), training loss: 0.73, training acc: 74.49%
[24/11/24 14:33:23, INFO, FSL_SAGE_main.py:main():353]  > R 117, for the weighted aggregated final model, testing loss: 7.0712e-01, testing acc: 75.98% ( 7598/10000), training loss: 0.73, training acc: 73.92%
[24/11/24 14:33:49, INFO, FSL_SAGE_main.py:main():353]  > R 118, for the weighted aggregated final model, testing loss: 6.8408e-01, testing acc: 76.89% ( 7689/10000), training loss: 0.73, training acc: 74.50%
[24/11/24 14:34:14, INFO, FSL_SAGE_main.py:main():353]  > R 119, for the weighted aggregated final model, testing loss: 6.7998e-01, testing acc: 76.37% ( 7637/10000), training loss: 0.71, training acc: 74.94%
[24/11/24 14:34:43, INFO, FSL_SAGE_main.py:main():353]  > R 120, for the weighted aggregated final model, testing loss: 6.8566e-01, testing acc: 76.18% ( 7618/10000), training loss: 0.73, training acc: 74.32%
[24/11/24 14:35:09, INFO, FSL_SAGE_main.py:main():353]  > R 121, for the weighted aggregated final model, testing loss: 6.9715e-01, testing acc: 75.88% ( 7588/10000), training loss: 0.74, training acc: 73.86%
[24/11/24 14:35:35, INFO, FSL_SAGE_main.py:main():353]  > R 122, for the weighted aggregated final model, testing loss: 6.7538e-01, testing acc: 76.71% ( 7671/10000), training loss: 0.72, training acc: 74.48%
[24/11/24 14:36:01, INFO, FSL_SAGE_main.py:main():353]  > R 123, for the weighted aggregated final model, testing loss: 7.0238e-01, testing acc: 75.98% ( 7598/10000), training loss: 0.73, training acc: 74.44%
[24/11/24 14:36:26, INFO, FSL_SAGE_main.py:main():353]  > R 124, for the weighted aggregated final model, testing loss: 6.7316e-01, testing acc: 77.13% ( 7713/10000), training loss: 0.71, training acc: 74.91%
[24/11/24 14:36:52, INFO, FSL_SAGE_main.py:main():353]  > R 125, for the weighted aggregated final model, testing loss: 6.6201e-01, testing acc: 77.23% ( 7723/10000), training loss: 0.71, training acc: 75.19%
[24/11/24 14:37:18, INFO, FSL_SAGE_main.py:main():353]  > R 126, for the weighted aggregated final model, testing loss: 6.7309e-01, testing acc: 77.22% ( 7722/10000), training loss: 0.70, training acc: 75.54%
[24/11/24 14:37:44, INFO, FSL_SAGE_main.py:main():353]  > R 127, for the weighted aggregated final model, testing loss: 6.6763e-01, testing acc: 77.29% ( 7729/10000), training loss: 0.72, training acc: 74.76%
